city,latitude,longitude
Campina Grande,-7.2246743,-35.8771292
Lagoa Seca,-7.157099,-35.8542023
Esperança,-7.018517,-35.852193
Montadas,-7.088656,-35.9577367
Pocinhos,-7.076073,-36.0604474
Puxinanã,-7.1475216,-35.9613355
Patos,-7.0258285,-37.2766817
São José de Espinharas,-6.8465204,-37.3250225
São José do Bonfim,-7.1616115,-37.3081198
Mãe d'Água,-7.2582944,-37.4269768
Teixeira,-7.221036,-37.252477
Malta,-6.9068159,-37.5217101
Santa Teresinha,-7.2454066,-35.8497253
São Mamede,-6.923862,-37.095436
Ipueira,-7.1762514,-36.5294751
Santa Luzia,-6.8677854,-36.9182757
Várzea,-6.7710581,-36.9912098
São José do Sabugi,-6.7758264,-36.797916
Junco do Seridó,-6.991929,-36.7137661
Tenório,-6.9408374,-36.6277956
Juazeirinho,-7.0688282,-36.5803059
Assunção,-7.073396,-36.7274003
Salgadinho,-7.1024779,-36.8446805
Areia de Baraúnas,-7.1233949,-36.9446216
Cacimba de Areia,-7.1288513,-37.1575194
Soledade,-7.058292,-36.366791
Olivedos,-6.991036,-36.2437286
Cubati,-6.8647974,-36.3525993
São Vicente do Seridó,-6.933337,-36.400864
Gurjão,-7.2470565,-36.4862714
Queimadas,-7.3640404,-35.9016644
Fagundes,-7.3577473,-35.7839735
Boa Vista,-7.2620711,-36.2415161
Maturéia,-7.264629,-37.3383363
Vista Serrana,-6.7391662,-37.5685755
Remígio,-6.9686741,-35.7932133
Serra Negra do Norte,-6.4794746,-38.2239524
São João do Cariri,-7.386747,-36.5288956
Serra Branca,-7.4815274,-36.6634581
Riachão do Bacamarte,-7.253472,-35.669257
Santa Rita,-7.128465,-34.9846186
Conde,-7.2600359,-34.9053524
João Pessoa,-7.1215981,-34.882028
Cabedelo,-6.97324,-34.8351609
Sapé,-7.093591,-35.227975
Lucena,-6.8984018,-34.8711915
Juarez Távora,-7.1726926,-35.590804
Alagoa Grande,-7.0415212,-35.6285322
Areia,-6.9680243,-35.6994783
Alagoa Nova,-7.0601145,-35.7614565
Guarabira,-6.8513982,-35.4915582
Cacimbas,-7.2125451,-37.0593398
Cabaceiras,-7.4889925,-36.2866113
Parari,-7.3181721,-36.655624
Macambira,-7.2156054,-38.4158421
São José dos Cordeiros,-7.3917683,-36.8079501
Ingá,-7.2904513,-35.6109945
Serra Redonda,-7.1867108,-35.679795
Mamanguape,-6.833698,-35.121316
Boqueirão,-7.487004,-36.130887
Coxixola,-7.6272915,-36.606013
Sumé,-7.671521,-36.8788755
